,yield,gen,year,site
1,47.5,Manchuria,1927,StPaul
2,45.4,Glabron,1927,StPaul
3,45,Svansota,1927,StPaul
4,43.4,Velvet,1927,StPaul
5,60.2,Trebi,1927,StPaul
6,45.2,ManxSA,1927,StPaul
7,50.3,SAxMan,1927,StPaul
8,49,Peatland,1927,StPaul
9,45.9,Colsess,1927,StPaul
10,49.4,Heinrichs,1927,StPaul
11,51.8,Manchuria,1927,Duluth
12,56,Glabron,1927,Duluth
13,41.9,Svansota,1927,Duluth
14,60,Velvet,1927,Duluth
15,65.1,Trebi,1927,Duluth
16,53.2,ManxSA,1927,Duluth
17,62.9,SAxMan,1927,Duluth
18,56.4,Peatland,1927,Duluth
19,62.5,Colsess,1927,Duluth
20,41.3,Manchuria,1927,Waseca
21,39.4,Glabron,1927,Waseca
22,36.3,Svansota,1927,Waseca
23,39.8,Velvet,1927,Waseca
24,53.8,Trebi,1927,Waseca
25,42.9,ManxSA,1927,Waseca
26,42.7,SAxMan,1927,Waseca
27,45.4,Peatland,1927,Waseca
28,35.6,Colsess,1927,Waseca
29,30.4,Glabron,1927,GrandRapids
30,32.1,Svansota,1927,GrandRapids
31,20.1,Velvet,1927,GrandRapids
32,17.2,Trebi,1927,GrandRapids
33,32.7,ManxSA,1927,GrandRapids
34,14.9,Peatland,1927,GrandRapids
35,26.9,Colsess,1927,GrandRapids
36,43.6,Manchuria,1927,Morris
37,50,Glabron,1927,Morris
38,49.1,Svansota,1927,Morris
39,45.6,Velvet,1927,Morris
40,54.6,Trebi,1927,Morris
41,52.3,ManxSA,1927,Morris
42,31.3,SAxMan,1927,Morris
43,45.4,Peatland,1927,Morris
44,41.9,Colsess,1927,Morris
45,26,Manchuria,1927,Crookston
46,27.6,Glabron,1927,Crookston
47,32.8,Velvet,1927,Crookston
48,36.8,Trebi,1927,Crookston
49,25.9,ManxSA,1927,Crookston
50,31.9,SAxMan,1927,Crookston
51,39.8,Peatland,1927,Crookston
52,34.2,Svansota,1927,Crookston
53,28.1,Colsess,1927,Crookston
54,32.9,Manchuria,1928,StPaul
55,30.1,Glabron,1928,StPaul
56,38.1,Svansota,1928,StPaul
57,28.4,Velvet,1928,StPaul
58,34.1,Trebi,1928,StPaul
59,31.8,ManxSA,1928,StPaul
60,37.5,SAxMan,1928,StPaul
61,34.8,Peatland,1928,StPaul
62,31.5,Colsess,1928,StPaul
63,39.3,Heinrichs,1928,StPaul
64,36.3,Manchuria,1928,Duluth
65,37,Glabron,1928,Duluth
66,22.5,Svansota,1928,Duluth
67,38,Velvet,1928,Duluth
68,41.3,Trebi,1928,Duluth
69,35.1,ManxSA,1928,Duluth
70,39.6,SAxMan,1928,Duluth
71,35.5,Peatland,1928,Duluth
72,34.4,Colsess,1928,Duluth
73,57.4,Manchuria,1928,Waseca
74,56.7,Glabron,1928,Waseca
75,55.3,Svansota,1928,Waseca
76,54.9,Velvet,1928,Waseca
77,67.5,Trebi,1928,Waseca
78,58.8,ManxSA,1928,Waseca
79,65.5,SAxMan,1928,Waseca
80,53,Peatland,1928,Waseca
81,55.2,Colsess,1928,Waseca
82,58.9,Heinrichs,1928,Waseca
83,48.1,Dryland,1928,Waseca
84,28.6,Glabron,1928,GrandRapids
85,39.7,Svansota,1928,GrandRapids
86,34.8,Velvet,1928,GrandRapids
87,39.2,Trebi,1928,GrandRapids
88,33.8,ManxSA,1928,GrandRapids
89,44.4,Peatland,1928,GrandRapids
90,28.2,Colsess,1928,GrandRapids
91,33.5,Manchuria,1928,GrandRapids
92,40.3,SAxMan,1928,GrandRapids
93,35.1,Manchuria,1928,Morris
94,32.4,Glabron,1928,Morris
95,42.3,Svansota,1928,Morris
96,36.8,Velvet,1928,Morris
97,27.4,Trebi,1928,Morris
98,41.8,ManxSA,1928,Morris
99,38.3,SAxMan,1928,Morris
100,26.8,Peatland,1928,Morris
101,29.6,Colsess,1928,Morris
102,29.1,Dryland,1928,Morris
103,48.9,Manchuria,1929,StPaul
104,51.8,Glabron,1929,StPaul
105,51.2,Svansota,1929,StPaul
106,49.5,Velvet,1929,StPaul
107,60.7,Trebi,1929,StPaul
108,54,ManxSA,1929,StPaul
109,58.1,SAxMan,1929,StPaul
110,49.4,Peatland,1929,StPaul
111,44.6,Colsess,1929,StPaul
112,53.9,Heinrichs,1929,StPaul
113,54.6,No474,1929,StPaul
114,33.2,Manchuria,1929,Duluth
115,25.8,Glabron,1929,Duluth
116,21.1,Svansota,1929,Duluth
117,29.7,Velvet,1929,Duluth
118,30.5,Trebi,1929,Duluth
119,34,ManxSA,1929,Duluth
120,23.9,SAxMan,1929,Duluth
121,28.8,Peatland,1929,Duluth
122,28.5,Colsess,1929,Duluth
123,24.3,No474,1929,Duluth
124,24.7,No475,1929,Duluth
125,49.5,Manchuria,1929,Waseca
126,52.4,Glabron,1929,Waseca
127,47.1,Svansota,1929,Waseca
128,48.9,Velvet,1929,Waseca
129,63.9,Trebi,1929,Waseca
130,50.3,ManxSA,1929,Waseca
131,53.7,SAxMan,1929,Waseca
132,50.5,Peatland,1929,Waseca
133,46.2,Colsess,1929,Waseca
134,39.9,Heinrichs,1929,Waseca
135,38.1,Dryland,1929,Waseca
136,41.4,No474,1929,Waseca
137,45,No475,1929,Waseca
138,28.3,Glabron,1929,GrandRapids
139,34,Svansota,1929,GrandRapids
140,23.7,Velvet,1929,GrandRapids
141,29.8,Trebi,1929,GrandRapids
142,31.3,ManxSA,1929,GrandRapids
143,27.1,Peatland,1929,GrandRapids
144,32.5,Colsess,1929,GrandRapids
145,26.4,Manchuria,1929,GrandRapids
146,30.6,SAxMan,1929,GrandRapids
147,29.4,No474,1929,GrandRapids
148,30.9,No475,1929,GrandRapids
149,27.3,Manchuria,1929,Morris
150,34.5,Glabron,1929,Morris
151,31.4,Svansota,1929,Morris
152,26.6,Velvet,1929,Morris
153,28.3,Trebi,1929,Morris
154,29.9,ManxSA,1929,Morris
155,29.3,SAxMan,1929,Morris
156,26.5,Peatland,1929,Morris
157,26.3,Colsess,1929,Morris
158,32.4,No474,1929,Morris
159,30.8,No475,1929,Morris
160,32.1,Manchuria,1929,Crookston
161,33.5,Glabron,1929,Crookston
162,29.1,Velvet,1929,Crookston
163,33.1,Trebi,1929,Crookston
164,40.1,ManxSA,1929,Crookston
165,48.5,SAxMan,1929,Crookston
166,33.7,Peatland,1929,Crookston
167,39.5,Svansota,1929,Crookston
168,31.5,Colsess,1929,Crookston
169,35.3,No474,1929,Crookston
170,39.5,No475,1929,Crookston
171,34.1,Manchuria,1930,StPaul
172,42,Glabron,1930,StPaul
173,32.3,Svansota,1930,StPaul
174,36.6,Velvet,1930,StPaul
175,41.5,Trebi,1930,StPaul
176,41.7,ManxSA,1930,StPaul
177,41,SAxMan,1930,StPaul
178,33.1,Peatland,1930,StPaul
179,30,Colsess,1930,StPaul
180,33.4,Heinrichs,1930,StPaul
181,30.4,No474,1930,StPaul
182,37,Minsturdi,1930,StPaul
183,37.5,CompCross,1930,StPaul
184,34.8,MechMixture,1930,StPaul
185,26.4,Manchuria,1930,Duluth
186,31.7,Glabron,1930,Duluth
187,32.8,Svansota,1930,Duluth
188,27.9,Velvet,1930,Duluth
189,30.9,Trebi,1930,Duluth
190,37.8,ManxSA,1930,Duluth
191,32.9,SAxMan,1930,Duluth
192,27.5,Peatland,1930,Duluth
193,33.2,Colsess,1930,Duluth
194,34.4,No474,1930,Duluth
195,39.3,No475,1930,Duluth
196,40.4,Manchuria,1930,Waseca
197,38.8,Glabron,1930,Waseca
198,40.5,Svansota,1930,Waseca
199,37.8,Velvet,1930,Waseca
200,45.1,Trebi,1930,Waseca
201,39.1,ManxSA,1930,Waseca
202,46,SAxMan,1930,Waseca
203,42.7,Peatland,1930,Waseca
204,38.3,Colsess,1930,Waseca
205,41.3,Heinrichs,1930,Waseca
206,44.4,No474,1930,Waseca
207,41.9,No475,1930,Waseca
208,31.3,Glabron,1930,GrandRapids
209,32.4,Svansota,1930,GrandRapids
210,37.8,Velvet,1930,GrandRapids
211,42.5,Trebi,1930,GrandRapids
212,33.4,ManxSA,1930,GrandRapids
213,38.9,Peatland,1930,GrandRapids
214,28.4,Colsess,1930,GrandRapids
215,31.8,Manchuria,1930,GrandRapids
216,38.9,SAxMan,1930,GrandRapids
217,37.4,No474,1930,GrandRapids
218,40.6,No475,1930,GrandRapids
219,19.3,Manchuria,1930,Morris
220,23.9,Glabron,1930,Morris
221,26.4,Svansota,1930,Morris
222,28.1,Velvet,1930,Morris
223,28.4,Trebi,1930,Morris
224,21.9,ManxSA,1930,Morris
225,34.1,SAxMan,1930,Morris
226,26,Peatland,1930,Morris
227,22,Colsess,1930,Morris
228,27.5,No474,1930,Morris
229,35.9,No475,1930,Morris
230,34,Manchuria,1930,Crookston
231,35.7,Glabron,1930,Crookston
232,36.7,Velvet,1930,Crookston
233,32.5,Trebi,1930,Crookston
234,35.9,ManxSA,1930,Crookston
235,35.2,SAxMan,1930,Crookston
236,29,Peatland,1930,Crookston
237,38.6,Svansota,1930,Crookston
238,27.9,Colsess,1930,Crookston
239,32.1,No474,1930,Crookston
240,36.7,No475,1930,Crookston
241,27,Manchuria,1931,StPaul
242,43.1,Glabron,1931,StPaul
243,35.1,Svansota,1931,StPaul
244,39.9,Velvet,1931,StPaul
245,36.6,Trebi,1931,StPaul
246,43.3,ManxSA,1931,StPaul
247,36.6,SAxMan,1931,StPaul
248,32.8,Peatland,1931,StPaul
249,33.5,Colsess,1931,StPaul
250,28.9,Heinrichs,1931,StPaul
251,30,No474,1931,StPaul
252,28.5,Minsturdi,1931,StPaul
253,32.1,CompCross,1931,StPaul
254,35.2,MechMixture,1931,StPaul
255,39.3,WisNo38,1931,StPaul
256,26.8,Jeans,1931,StPaul
257,29,Manchuria,1931,Duluth
258,29.7,Glabron,1931,Duluth
259,25.7,Svansota,1931,Duluth
260,26.3,Velvet,1931,Duluth
261,33.9,Trebi,1931,Duluth
262,33.6,ManxSA,1931,Duluth
263,28.1,SAxMan,1931,Duluth
264,32,Peatland,1931,Duluth
265,21,Colsess,1931,Duluth
266,33.1,No475,1931,Duluth
267,31.6,WisNo38,1931,Duluth
268,48.9,Manchuria,1931,Waseca
269,55.2,Glabron,1931,Waseca
270,47.3,Svansota,1931,Waseca
271,50.2,Velvet,1931,Waseca
272,63.8,Trebi,1931,Waseca
273,58.1,ManxSA,1931,Waseca
274,65.8,SAxMan,1931,Waseca
275,48.6,Peatland,1931,Waseca
276,47.2,Colsess,1931,Waseca
277,41.4,Heinrichs,1931,Waseca
278,46.5,No474,1931,Waseca
279,46.8,No475,1931,Waseca
280,48.2,Minsturdi,1931,Waseca
281,58.8,WisNo38,1931,Waseca
282,29.1,Glabron,1931,GrandRapids
283,29.7,Svansota,1931,GrandRapids
284,23,Velvet,1931,GrandRapids
285,29.8,Trebi,1931,GrandRapids
286,32.2,ManxSA,1931,GrandRapids
287,34.7,Peatland,1931,GrandRapids
288,28.8,Colsess,1931,GrandRapids
289,33,Manchuria,1931,GrandRapids
290,24.9,SAxMan,1931,GrandRapids
291,21.3,No474,1931,GrandRapids
292,19.7,No475,1931,GrandRapids
293,23.2,Heinrichs,1931,GrandRapids
294,34.5,WisNo38,1931,GrandRapids
295,27.4,Manchuria,1931,Morris
296,28.8,Glabron,1931,Morris
297,25.8,Svansota,1931,Morris
298,26.1,Velvet,1931,Morris
299,43.8,Trebi,1931,Morris
300,28.7,ManxSA,1931,Morris
301,30.4,SAxMan,1931,Morris
302,29.9,Peatland,1931,Morris
303,26.2,Colsess,1931,Morris
304,19.4,No474,1931,Morris
305,22.6,No475,1931,Morris
306,20.4,Heinrichs,1931,Morris
307,29.5,WisNo38,1931,Morris
308,39.9,Manchuria,1931,Crookston
309,38.1,Glabron,1931,Crookston
310,41.3,Velvet,1931,Crookston
311,46.9,Trebi,1931,Crookston
312,45.7,ManxSA,1931,Crookston
313,48.6,SAxMan,1931,Crookston
314,41.6,Peatland,1931,Crookston
315,40.5,Svansota,1931,Crookston
316,36.5,Colsess,1931,Crookston
317,37.6,No474,1931,Crookston
318,44.1,No475,1931,Crookston
319,33.3,Heinrichs,1931,Crookston
320,49.9,WisNo38,1931,Crookston
321,26.9,Manchuria,1932,StPaul
322,26.8,Velvet,1932,StPaul
323,38,WisNo38,1932,StPaul
324,29.1,Trebi,1932,StPaul
325,25.8,Minsturdi,1932,StPaul
326,28.1,Peatland,1932,StPaul
327,27.4,Svansota,1932,StPaul
328,25.9,Spartan,1932,StPaul
329,25.6,SAxMan,1932,StPaul
330,26.4,ManxSA,1932,StPaul
331,30.9,No474,1932,StPaul
332,33.5,Manchuria,1932,Waseca
333,37.4,Velvet,1932,Waseca
334,37.7,Glabron,1932,Waseca
335,58.2,WisNo38,1932,Waseca
336,49.2,Trebi,1932,Waseca
337,41,Minsturdi,1932,Waseca
338,36,Peatland,1932,Waseca
339,36.7,No474,1932,Waseca
340,33.2,Spartan,1932,Waseca
341,44.7,SAxMan,1932,Waseca
342,42.2,ManxSA,1932,Waseca
343,38.5,Svansota,1932,Waseca
344,34.4,Manchuria,1932,Morris
345,38.8,Velvet,1932,Morris
346,35.1,Glabron,1932,Morris
347,47.2,WisNo38,1932,Morris
348,46.6,Trebi,1932,Morris
349,43.2,Peatland,1932,Morris
350,47,SAxMan,1932,Morris
351,43.5,ManxSA,1932,Morris
352,43.8,No474,1932,Morris
353,33,Manchuria,1932,Crookston
354,32.1,Velvet,1932,Crookston
355,26.2,Glabron,1932,Crookston
356,35.9,WisNo38,1932,Crookston
357,41.8,Trebi,1932,Crookston
358,25.2,Peatland,1932,Crookston
359,30.5,SAxMan,1932,Crookston
360,34.3,ManxSA,1932,Crookston
361,32,No474,1932,Crookston
362,20.6,Svansota,1932,Crookston
363,22.1,Manchuria,1932,GrandRapids
364,32.2,Velvet,1932,GrandRapids
365,14.4,Glabron,1932,GrandRapids
366,20.7,WisNo38,1932,GrandRapids
367,20.7,Trebi,1932,GrandRapids
368,26.8,Peatland,1932,GrandRapids
369,19.9,SAxMan,1932,GrandRapids
370,19.5,ManxSA,1932,GrandRapids
371,18.6,No474,1932,GrandRapids
372,16.6,Svansota,1932,GrandRapids
373,22.6,Manchuria,1932,Duluth
374,22.5,Velvet,1932,Duluth
375,25.9,Glabron,1932,Duluth
376,29.3,WisNo38,1932,Duluth
377,30.6,Trebi,1932,Duluth
378,31.4,Peatland,1932,Duluth
379,22.2,Svansota,1932,Duluth
380,22.5,SAxMan,1932,Duluth
381,22.7,ManxSA,1932,Duluth
382,27.1,Manchuria,1933,StPaul
383,38.2,Velvet,1933,StPaul
384,38.8,WisNo38,1933,StPaul
385,45.9,Trebi,1933,StPaul
386,40.4,Minsturdi,1933,StPaul
387,31,Peatland,1933,StPaul
388,36.2,Svansota,1933,StPaul
389,43.3,Spartan,1933,StPaul
390,34.8,SAxMan,1933,StPaul
391,40.8,ManxSA,1933,StPaul
392,30.9,No474,1933,StPaul
393,34.4,Glabron,1933,StPaul
394,26,Oderbrucker,1933,StPaul
395,32.9,Odessa,1933,StPaul
396,41.1,SD1340,1933,StPaul
397,44.8,Manchuria,1933,Waseca
398,53.5,Velvet,1933,Waseca
399,59.6,Glabron,1933,Waseca
400,65.9,WisNo38,1933,Waseca
401,62.1,Trebi,1933,Waseca
402,54.7,Minsturdi,1933,Waseca
403,59.1,Peatland,1933,Waseca
404,46.9,No474,1933,Waseca
405,56.8,Spartan,1933,Waseca
406,58.4,SAxMan,1933,Waseca
407,57.8,ManxSA,1933,Waseca
408,46.4,Oderbrucker,1933,Waseca
409,62,Odessa,1933,Waseca
410,58,SD1340,1933,Waseca
411,26.2,Manchuria,1933,Crookston
412,35.6,Velvet,1933,Crookston
413,28.4,Glabron,1933,Crookston
414,44.5,WisNo38,1933,Crookston
415,22.8,Trebi,1933,Crookston
416,35.3,Peatland,1933,Crookston
417,31.3,SAxMan,1933,Crookston
418,27.6,ManxSA,1933,Crookston
419,36.1,No474,1933,Crookston
420,34.7,Oderbrucker,1933,Crookston
421,33.3,Odessa,1933,Crookston
422,8.8,SD1340,1933,Crookston
423,10.1,Manchuria,1933,GrandRapids
424,8,Velvet,1933,GrandRapids
425,14.2,Glabron,1933,GrandRapids
426,10.6,WisNo38,1933,GrandRapids
427,15.5,Trebi,1933,GrandRapids
428,14.4,Peatland,1933,GrandRapids
429,10.9,SAxMan,1933,GrandRapids
430,12.7,ManxSA,1933,GrandRapids
431,9.8,No474,1933,GrandRapids
432,10.1,Oderbrucker,1933,GrandRapids
433,14,Odessa,1933,GrandRapids
434,38.4,Manchuria,1933,Duluth
435,30.4,Velvet,1933,Duluth
436,36.3,Glabron,1933,Duluth
437,60.1,WisNo38,1933,Duluth
438,35.8,Trebi,1933,Duluth
439,41.7,Peatland,1933,Duluth
440,33.5,Svansota,1933,Duluth
441,34.7,SAxMan,1933,Duluth
442,21.6,ManxSA,1933,Duluth
443,32.9,Oderbrucker,1933,Duluth
444,44.1,Odessa,1933,Duluth
445,34.1,No474,1933,Duluth
446,12.7,Manchuria,1934,StPaul
447,15,Velvet,1934,StPaul
448,5.5,WisNo38,1934,StPaul
449,14.6,Trebi,1934,StPaul
450,16.3,Minsturdi,1934,StPaul
451,5.4,Peatland,1934,StPaul
452,2.9,Svansota,1934,StPaul
453,9.3,Spartan,1934,StPaul
454,12,SAxMan,1934,StPaul
455,19.6,ManxSA,1934,StPaul
456,6.6,No474,1934,StPaul
457,13.6,Glabron,1934,StPaul
458,6.1,Oderbrucker,1934,StPaul
459,13.8,Odessa,1934,StPaul
460,10.1,SD1340,1934,StPaul
461,18.9,Manchuria,1934,Waseca
462,18.5,Velvet,1934,Waseca
463,22.6,Glabron,1934,Waseca
464,22.1,WisNo38,1934,Waseca
465,25.3,Trebi,1934,Waseca
466,19.9,Minsturdi,1934,Waseca
467,11.3,Peatland,1934,Waseca
468,27.7,No474,1934,Waseca
469,8.8,Spartan,1934,Waseca
470,23,SAxMan,1934,Waseca
471,26.8,ManxSA,1934,Waseca
472,13.8,Oderbrucker,1934,Waseca
473,17.4,Odessa,1934,Waseca
474,13.3,SD1340,1934,Waseca
475,15.8,Manchuria,1934,Waseca
476,49.4,Manchuria,1934,Crookston
477,47.2,Velvet,1934,Crookston
478,52.1,Glabron,1934,Crookston
479,51.4,WisNo38,1934,Crookston
480,65.1,Trebi,1934,Crookston
481,44.7,Peatland,1934,Crookston
482,60.5,SAxMan,1934,Crookston
483,57.6,ManxSA,1934,Crookston
484,51.5,No474,1934,Crookston
485,48.2,Oderbrucker,1934,Crookston
486,59.3,Odessa,1934,Crookston
487,56.8,SD1340,1934,Crookston
488,29.3,Manchuria,1934,GrandRapids
489,40.4,Velvet,1934,GrandRapids
490,37.3,Glabron,1934,GrandRapids
491,43.3,WisNo38,1934,GrandRapids
492,42.6,Trebi,1934,GrandRapids
493,43.2,Peatland,1934,GrandRapids
494,39.5,SAxMan,1934,GrandRapids
495,35.5,ManxSA,1934,GrandRapids
496,44.5,No474,1934,GrandRapids
497,26.7,Oderbrucker,1934,GrandRapids
498,42.5,Odessa,1934,GrandRapids
499,31.8,SD1340,1934,GrandRapids
500,55.7,Manchuria,1934,Duluth
501,51.8,Velvet,1934,Duluth
502,50.3,Glabron,1934,Duluth
503,73.4,WisNo38,1934,Duluth
504,75.5,Trebi,1934,Duluth
505,50.7,Peatland,1934,Duluth
506,54.7,Svansota,1934,Duluth
507,64,SAxMan,1934,Duluth
508,58,ManxSA,1934,Duluth
509,38.8,Oderbrucker,1934,Duluth
510,54.5,Odessa,1934,Duluth
511,51.2,SD1340,1934,Duluth
512,48.4,No474,1934,Duluth
513,51.9,Manchuria,1935,StPaul
514,57,Velvet,1935,StPaul
515,63.3,WisNo38,1935,StPaul
516,62.1,Trebi,1935,StPaul
517,62.1,Minsturdi,1935,StPaul
518,51.9,Peatland,1935,StPaul
519,56.7,Svansota,1935,StPaul
520,64.4,Spartan,1935,StPaul
521,49.4,SAxMan,1935,StPaul
522,60,ManxSA,1935,StPaul
523,58.9,No474,1935,StPaul
524,46,Glabron,1935,StPaul
525,43.3,Oderbrucker,1935,StPaul
526,53.6,Odessa,1935,StPaul
527,61.1,SD1340,1935,StPaul
528,53.5,Manchuria,1935,Waseca
529,56.5,Velvet,1935,Waseca
530,59,Glabron,1935,Waseca
531,72.3,WisNo38,1935,Waseca
532,66.9,Trebi,1935,Waseca
533,61.3,Minsturdi,1935,Waseca
534,47.8,Peatland,1935,Waseca
535,63.7,No474,1935,Waseca
536,61.3,Spartan,1935,Waseca
537,57.8,SAxMan,1935,Waseca
538,51.1,ManxSA,1935,Waseca
539,40.4,Oderbrucker,1935,Waseca
540,61.2,Odessa,1935,Waseca
541,54.5,SD1340,1935,Waseca
542,40.7,Manchuria,1935,Waseca
543,34.2,Manchuria,1935,Morris
544,36.7,Velvet,1935,Morris
545,33.8,Glabron,1935,Morris
546,55.2,WisNo38,1935,Morris
547,43.8,Trebi,1935,Morris
548,49.1,Peatland,1935,Morris
549,34,SAxMan,1935,Morris
550,31.5,ManxSA,1935,Morris
551,48.9,No474,1935,Morris
552,34.3,Oderbrucker,1935,Morris
553,41.9,Odessa,1935,Morris
554,35.1,SD1340,1935,Morris
555,40,Manchuria,1935,Crookston
556,40.6,Velvet,1935,Crookston
557,32.9,Glabron,1935,Crookston
558,45.2,WisNo38,1935,Crookston
559,56.5,Trebi,1935,Crookston
560,52,Peatland,1935,Crookston
561,37.3,SAxMan,1935,Crookston
562,43,ManxSA,1935,Crookston
563,40.6,No474,1935,Crookston
564,32.5,Oderbrucker,1935,Crookston
565,44,Odessa,1935,Crookston
566,42,SD1340,1935,Crookston
567,28.6,Manchuria,1935,GrandRapids
568,26,Velvet,1935,GrandRapids
569,21.4,Glabron,1935,GrandRapids
570,25.1,WisNo38,1935,GrandRapids
571,33.5,Trebi,1935,GrandRapids
572,35.6,Peatland,1935,GrandRapids
573,31.5,SAxMan,1935,GrandRapids
574,29.7,ManxSA,1935,GrandRapids
575,24.5,No474,1935,GrandRapids
576,23.8,Oderbrucker,1935,GrandRapids
577,28,Odessa,1935,GrandRapids
578,25.9,SD1340,1935,GrandRapids
579,24.6,Manchuria,1935,Duluth
580,27.5,Velvet,1935,Duluth
581,21.4,Glabron,1935,Duluth
582,40.5,WisNo38,1935,Duluth
583,30.5,Trebi,1935,Duluth
584,33,Peatland,1935,Duluth
585,23,Svansota,1935,Duluth
586,17.9,SAxMan,1935,Duluth
587,24.5,ManxSA,1935,Duluth
588,19.2,Oderbrucker,1935,Duluth
589,33,Odessa,1935,Duluth
590,27,SD1340,1935,Duluth
591,24.5,No474,1935,Duluth
592,22.7,Manchuria,1936,StPaul
593,17,Velvet,1936,StPaul
594,18.3,WisNo38,1936,StPaul
595,25.3,Trebi,1936,StPaul
596,30.9,Minsturdi,1936,StPaul
597,11,Peatland,1936,StPaul
598,24,Glabron,1936,StPaul
599,10.3,Oderbrucker,1936,StPaul
600,21.7,Odessa,1936,StPaul
601,31.8,SD1340,1936,StPaul
602,38,Manchuria,1936,Waseca
603,39.4,Velvet,1936,Waseca
604,42.8,Glabron,1936,Waseca
605,45,WisNo38,1936,Waseca
606,55.9,Trebi,1936,Waseca
607,46.6,Minsturdi,1936,Waseca
608,38.5,Peatland,1936,Waseca
609,36.5,Oderbrucker,1936,Waseca
610,39.3,Odessa,1936,Waseca
611,48,SD1340,1936,Waseca
612,23.3,Manchuria,1936,Morris
613,21.1,Velvet,1936,Morris
614,23.8,Glabron,1936,Morris
615,20.1,WisNo38,1936,Morris
616,26.1,Trebi,1936,Morris
617,18.1,Peatland,1936,Morris
618,19,Oderbrucker,1936,Morris
619,25.7,Odessa,1936,Morris
620,20.1,SD1340,1936,Morris
621,8.2,Manchuria,1936,Crookston
622,12.6,Velvet,1936,Crookston
623,11.5,Glabron,1936,Crookston
624,8.8,WisNo38,1936,Crookston
625,23.1,Trebi,1936,Crookston
626,6.7,Peatland,1936,Crookston
627,4.1,Oderbrucker,1936,Crookston
628,17.2,Odessa,1936,Crookston
629,13.9,SD1340,1936,Crookston
630,18,Manchuria,1936,GrandRapids
631,7.7,Velvet,1936,GrandRapids
632,12.8,Glabron,1936,GrandRapids
633,9,WisNo38,1936,GrandRapids
634,19,Trebi,1936,GrandRapids
635,16.5,Peatland,1936,GrandRapids
636,13,Oderbrucker,1936,GrandRapids
637,14.4,Odessa,1936,GrandRapids
638,15,SD1340,1936,GrandRapids
639,12,Manchuria,1936,Duluth
640,8.9,Velvet,1936,Duluth
641,12.9,Glabron,1936,Duluth
642,10.3,WisNo38,1936,Duluth
643,21.2,Trebi,1936,Duluth
644,17.5,Peatland,1936,Duluth
645,9.2,Oderbrucker,1936,Duluth
646,17.4,Odessa,1936,Duluth
647,14.2,SD1340,1936,Duluth